name,year,engine_capacity,horse_power,fuel,transmission,drive_unit,mileage,location,price
Hyundai H1,2001,2.5,101,дизель,автомат,задний,271324,Москва,455 000 ₽
Nissan Note,2017,1.2,79,гибрид,АКПП,передний,46200,Москва,1 500 000 ₽
Mercedes-Benz V-Class,2020,2.0,239,дизель,автомат,4WD,7500,Москва,8 350 000 ₽
УАЗ Патриот,2018,2.7,135,бензин,механика,4WD,8000,Москва,1 499 000 ₽
Lexus RX350h,2022,2.5,190,гибрид,вариатор,4WD,0,Москва,8 900 000 ₽
Toyota Roomy,2020,1.0,69,бензин,вариатор,передний,84000,Москва,1 280 000 ₽
Zeekr X,2023,,428,электро,автомат,4WD,84000,Москва,4 090 000 ₽
Zeekr X,2023,,428,электро,автомат,4WD,84000,Москва,4 090 000 ₽
Mercedes-Benz GLC,2020,2.0,258,бензин,АКПП,4WD,20000,Москва,7 700 000 ₽
Ford Fiesta,2012,1.4,96,бензин,АКПП,передний,125100,Москва,769 900 ₽
MINI Hatch,2013,1.6,122,бензин,АКПП,передний,180000,Москва,1 069 900 ₽
Kia Rio,2021,1.6,123,бензин,АКПП,передний,37000,Москва,1 689 900 ₽
Nissan Qashqai,2021,1.2,115,бензин,вариатор,передний,21500,Москва,1 899 900 ₽
Kia Sorento,2014,2.2,197,дизель,АКПП,4WD,111000,Москва,1 679 900 ₽
Skywell ET5,2022,,204,электро,АКПП,передний,7120,Москва,3 199 000 ₽
Volkswagen Polo,2015,1.6,105,бензин,механика,передний,188000,Москва,669 900 ₽
Nissan Juke,2017,1.6,117,бензин,вариатор,передний,62500,Москва,1 299 900 ₽
Evolute i-Joy,2022,,163,электро,АКПП,передний,6600,Москва,2 379 000 ₽
Land Rover Range Rover,2023,4.4,530,бензин,АКПП,4WD,0,Москва,39 295 000 ₽
BMW X6,2023,3.0,381,бензин,АКПП,4WD,0,Москва,14 800 000 ₽
Opel Astra,2011,1.6,115,бензин,робот,передний,144000,Москва,620 000 ₽
Tank 500,2023,3.0,299,бензин,АКПП,4WD,0,Москва,6 299 000 ₽
Tank 300,2023,2.0,220,бензин,АКПП,4WD,0,Москва,4 539 000 ₽
Zeekr 001,2023,,544,электро,автомат,4WD,0,Москва,5 900 000 ₽
Zeekr 001,2023,,544,электро,автомат,4WD,0,Москва,6 150 000 ₽
Hyundai Santa Fe,2021,3.5,249,бензин,АКПП,4WD,89500,Москва,4 590 000 ₽
Toyota Land Cruiser,2010,4.5,235,дизель,АКПП,4WD,334244,Москва,2 950 000 ₽
Toyota Passo,2018,1.0,69,бензин,вариатор,передний,26000,Москва,1 100 000 ₽
Changan UNI-K,2023,2.0,226,бензин,АКПП,4WD,0,Москва,3 650 000 ₽
BMW X7,2020,3.0,265,дизель,автомат,4WD,99500,Москва,8 000 000 ₽
Honda Stepwgn,2022,1.5,150,бензин,вариатор,передний,12300,Москва,4 050 000 ₽
Toyota Land Cruiser Prado,2022,2.8,200,дизель,АКПП,4WD,0,Москва,8 000 000 ₽
Mercedes-Benz S-Class,2023,4.0,503,бензин,АКПП,4WD,0,Москва,19 790 000 ₽
Toyota Grand Highlander,2023,2.4,265,бензин,АКПП,4WD,0,Москва,8 990 000 ₽
Toyota Sequoia,2023,3.4,437,гибрид,АКПП,4WD,0,Москва,14 340 000 ₽
Hyundai Santa Fe,2019,2.2,200,дизель,АКПП,4WD,109000,Москва,3 300 000 ₽
Li L7,2023,1.5,154,гибрид,АКПП,4WD,,Москва,5 890 000 ₽
Land Rover Range Rover,2023,4.4,530,бензин,АКПП,4WD,,Москва,24 500 000 ₽
Jaguar F-Pace,2021,2.0,249,бензин,АКПП,4WD,42000,Москва,5 798 000 ₽
Geely Coolray,2023,1.5,181,бензин,автомат,передний,,Москва,2 500 000 ₽
Volkswagen Caddy,2011,1.2,86,бензин,механика,передний,220000,Москва,720 000 ₽
Kia Sportage,2022,2.0,190,автомат,4WD,200 км,,Москва,4 500 000 ₽
Toyota bZ4X,2022,,214,электро,АКПП,4WD,,Москва,4 400 000 ₽
BYD Tang,2023,1.5,137,бензин,вариатор,передний,200,Москва,4 800 000 ₽
Toyota Roomy,2017,1.0,69,бензин,вариатор,передний,95000,Москва,1 295 000 ₽
Mitsubishi Outlander,2022,2.0,146,бензин,вариатор,передний,0,Москва,3 150 000 ₽
Toyota RAV4,2011,2.0,148,бензин,вариатор,4WD,265000,Москва,1 530 000 ₽
Volkswagen Polo,2014,1.6,105,бензин,АКПП,передний,152000,Москва,1 050 000 ₽
Hyundai Palisade,2023,2.2,202,дизель,АКПП,4WD,0,Москва,7 350 000 ₽
Li L9,2023,1.5,154,гибрид,АКПП,4WD,,Москва,7 200 000 ₽
Li L7,2023,1.5,154,гибрид,АКПП,4WD,,Москва,6 200 000 ₽
Li L9,2023,1.5,154,гибрид,АКПП,4WD,,Москва,7 100 000 ₽
Changan UNI-K,2023,2.0,232,бензин,АКПП,4WD,,Москва,3 000 000 ₽
Toyota Camry,2018,3.5,249,бензин,АКПП,передний,33000,Москва,3 650 000 ₽
Changan UNI-K,2023,2.0,226,бензин,АКПП,4WD,0,Москва,3 345 000 ₽
Audi A3,2021,1.4,150,бензин,АКПП,передний,10000,Москва,3 200 000 ₽
Hyundai Tucson,2023,2.5,190,бензин,АКПП,4WD,0,Москва,4 450 000 ₽
Mazda CX-5,2021,2.5,195,бензин,автомат,4WD,56000,Москва,3 150 000 ₽
Toyota Crown,2009,3.5,296,гибрид,вариатор,задний,131000,Москва,950 000 ₽
GMC Hummer EV,2023,,1000,электро,автомат,4WD,131000,Москва,21 890 000 ₽
Toyota Sequoia,2023,3.4,437,гибрид,АКПП,4WD,,Москва,14 440 000 ₽
Toyota Sequoia,2023,3.4,437,гибрид,АКПП,4WD,0,Москва,14 290 000 ₽
Toyota Grand Highlander,2023,2.4,265,бензин,АКПП,4WD,0,Москва,8 990 000 ₽
Toyota Sequoia,2023,3.4,437,гибрид,АКПП,4WD,0,Москва,14 500 000 ₽
Porsche Cayenne,2023,3.0,353,бензин,АКПП,4WD,0,Москва,16 840 000 ₽
BMW X5,2023,3.0,381,бензин,АКПП,4WD,0,Москва,11 690 000 ₽
